customer_id,full_name,customer_type,birth_date,gender,email,phone,address,social_channels,source,tags,notes,created_at,updated_at,lifecycle_stage
25,Bùi Ngọc Vy,Mới,1998-04-03,Nữ,bui.ngoc.vy@gmail.com,744221369,"Hiệu Vàng Hạnh, Địa chỉ: Phù Mỹ, Bình Định, https://www.google.com/maps/place/Hi%E1%BB%87u+V%C3%A0ng+H%E1%BA%A1nh/data=!4m7!3m6!1s0x3168cc6fa2135af3:0x51f87c823737260e!8m2!3d14.2982586!4d109.0784756!16s%2Fg%2F11gk6ntgpf!19sChIJ81oTom_MaDERDiY3N4J8-FE?auth","{""instagram"": ""instagram.com/bui_ngoc_vy95"", ""zalo"": ""zalo.com/bui_ngoc_vy23"", ""preferred"": ""email""}",Ads,"[""k-beauty"", ""clean-beauty""]",,2024-12-11 11:56:34,2024-12-23 01:13:49,Prospect
26,Lê Phương Phương,Mới,1999-12-08,Nữ,le.phuong.phuong@yahoo.com,917023590,"Nhà thuốc tây BẢO TRÂN, Địa chỉ: 2JG5+8V5, ĐT885, Vĩnh An, Ba Tri, Bến Tre, https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+t%C3%A2y+B%E1%BA%A2O+TR%C3%82N/data=!4m7!3m6!1s0x319ff9007ef35e85:0x71407950b7405b65!8m2!3d10.0257408!4d106.6096656!16s%2F","{""instagram"": ""instagram.com/le_phuong_phuong4"", ""preferred"": ""tiktok""}",Referral,"[""nuoc-hoa"", ""aha-bha"", ""bodycare""]",,2025-05-02 22:41:11,2025-07-28 23:13:54,Prospect
27,Võ Hữu Phương,Trung bình,2007-04-20,Nữ,vo.huu.phuong@yahoo.com,823078457,"Nhà thuốc Trường An, Địa chỉ: 30 Lê Ninh, Lê Lợi, Vinh, Nghệ An, https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+Tr%C6%B0%E1%BB%9Dng+An/data=!4m7!3m6!1s0x3139cfaedcaa8b1f:0xea6a6e7d2fa4307!8m2!3d18.6913183!4d105.6661779!16s%2Fg%2F11t2m13qnf!19sCh","{""tiktok"": ""tiktok.com/vo_huu_phuong55"", ""instagram"": ""instagram.com/vo_huu_phuong57"", ""zalo"": ""zalo.com/vo_huu_phuong76"", ""youtube"": ""youtube.com/vo_huu_phuong25"", ""preferred"": ""tiktok""}",Social,"[""duong-am""]",,2025-06-22 21:36:51,2025-09-05 19:21:27,Prospect
28,Lê Thị Long,Trung bình,2000-08-15,Nam,le.thi.long3151@outlook.com,384500736,"Cà phê Chim Chào Mào, Địa chỉ: 65FM+8P3, Đ. Số 4, Phước Long, Nha Trang, Khánh Hòa, Số điện thoại: 0397 682 868, https://www.google.com/maps/place/C%C3%A0+ph%C3%AA+Chim+Ch%C3%A0o+M%C3%A0o/data=!4m7!3m6!1s0x31705d8dd116fcff:0x4e1a8c3259203d09!8m2!3d12.2232","{""tiktok"": ""tiktok.com/le_thi_long69"", ""instagram"": ""instagram.com/le_thi_long91"", ""preferred"": ""zalo""}",Social,[],,2025-04-13 15:07:24,2025-06-18 18:13:35,Prospect
29,Vũ Thanh Kim,Mới,2007-05-27,Nam,vu.thanh.kim@gmail.com,342956274,"Nhà thuốc Hải Nhung, Địa chỉ: 63 QL48B, Quỳnh Hồng, Quỳnh Lưu, Nghệ An, Số điện thoại: 0988 450 575, https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+H%E1%BA%A3i+Nhung/data=!4m7!3m6!1s0x31377146eaf93199:0x9a6716052c01bea5!8m2!3d19.1446305!4d105.63","{""tiktok"": ""tiktok.com/vu_thanh_kim62"", ""instagram"": ""instagram.com/vu_thanh_kim16"", ""zalo"": ""zalo.com/vu_thanh_kim94"", ""preferred"": ""zalo""}",Website,"[""livestream-fan"", ""lip-matte"", ""clean-beauty""]",,2025-01-24 02:03:13,2025-03-10 13:25:03,Prospect
30,Vũ Thu Hương,Trung bình,1997-09-27,Nữ,vu.thu.huong6164@gmail.com,598701456,"Quán Café - Giải Khát Vân, Địa chỉ: 25 Điện Biên Phủ, Phường Vĩnh Hòa, Khánh Hòa, Số điện thoại: 0258 3550 649, https://www.google.com/maps/place/Qu%C3%A1n+Caf%C3%A9+-+Gi%E1%BA%A3i+Kh%C3%A1t+V%C3%A2n/data=!4m7!3m6!1s0x317067e28d6531d3:0x52f33d1b516e597a!8","{""tiktok"": ""tiktok.com/vu_thu_huong13"", ""instagram"": ""instagram.com/vu_thu_huong66"", ""zalo"": ""zalo.com/vu_thu_huong50"", ""youtube"": ""youtube.com/vu_thu_huong41"", ""preferred"": ""facebook""}",Website,"[""duong-am"", ""ship-nhanh""]",,2025-08-17 13:57:31,2025-08-21 12:34:05,Lead
31,Võ Đức Ngọc,Trung bình,2006-02-26,Nam,vo.duc.ngoc@icloud.com,385074919,"Khách sạn Thuận Phùng Hưng, Địa chỉ: 198B Đ. Phùng Hưng, Phường 14, Quận 5, Hồ Chí Minh, Số điện thoại: 028 3855 0940, https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+Thu%E1%BA%ADn+Ph%C3%B9ng+H%C6%B0ng/data=!4m10!3m9!1s0x31752ef412000d5b:0x34e6ad","{""tiktok"": ""tiktok.com/vo_duc_ngoc96"", ""instagram"": ""instagram.com/vo_duc_ngoc78"", ""zalo"": ""zalo.com/vo_duc_ngoc3"", ""preferred"": ""instagram""}",Ads,"[""da-nhay-cam"", ""nuoc-hoa"", ""ship-nhanh""]",,2025-07-10 12:31:39,2025-07-16 22:38:12,Prospect
32,Hồ Minh Trang,Trung bình,1987-09-05,Nữ,ho.minh.trang514@gmail.com,520011139,"Corn Tea, Địa chỉ: 3545+FHV, Cam Đức, Cam Lâm, Khánh Hòa, https://www.google.com/maps/place/Corn+Tea/data=!4m7!3m6!1s0x3170f5ce0789228b:0x3557eeb85776fa25!8m2!3d12.0562478!4d109.1589179!16s%2Fg%2F11fq9fh939!19sChIJiyKJB871cDERJfp2V7juVzU?authuser=0&hl=vi&","{""tiktok"": ""tiktok.com/ho_minh_trang35"", ""instagram"": ""instagram.com/ho_minh_trang88"", ""zalo"": ""zalo.com/ho_minh_trang57"", ""preferred"": ""zalo""}",Ads,[],Săn coupon khung giờ vàng,2024-11-12 22:22:24,2024-11-20 20:29:30,Prospect
40,Hồ Quốc Anh,Mới,1997-08-19,Nữ,ho.quoc.anh@outlook.com,550793279,"Khách sạn Đức Trung, Địa chỉ: 85 Bế Văn Đàn, P. Hợp giang, Cao Bằng, Số điện thoại: 0206 3853 424, https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+%C4%90%E1%BB%A9c+Trung/data=!4m10!3m9!1s0x36ca6682fa766eff:0x9f8e1cdfc8eafdb1!5m2!4m1!1i2!8m2!3d22.","{""tiktok"": ""tiktok.com/ho_quoc_anh80"", ""facebook"": ""facebook.com/ho_quoc_anh78"", ""youtube"": ""youtube.com/ho_quoc_anh39"", ""preferred"": ""instagram""}",Social,[],,2024-10-19 05:48:30,2024-12-25 05:45:34,Lead
43,Đặng Văn Hương,Trung bình,1998-12-02,Nữ,dang.van.huong@gmail.com,825997706,"Trạm Nắng Coffee, Địa chỉ: 216 QL1A, Vĩnh Lương, Nha Trang, Khánh Hòa, Số điện thoại: 0346 378 395, https://www.google.com/maps/place/Tr%E1%BA%A1m+N%E1%BA%AFng+Coffee/data=!4m7!3m6!1s0x3170690048b8c033:0xaedf7544c8636585!8m2!3d12.3356316!4d109.1945066!16s","{""tiktok"": ""tiktok.com/dang_van_huong12"", ""instagram"": ""instagram.com/dang_van_huong3"", ""zalo"": ""zalo.com/dang_van_huong31"", ""facebook"": ""facebook.com/dang_van_huong33"", ""preferred"": ""tiktok""}",Social,"[""da-nhay-cam"", ""livestream-fan""]",Săn coupon khung giờ vàng,2025-04-06 02:00:18,2025-05-14 15:44:49,Prospect
44,Lê Tuấn Kim,Vip,2001-09-16,Nữ,le.tuan.kim3221@hotmail.com,734608388,"CHI Coffee & Drink, Địa chỉ: 322 Đường Nguyễn Công Trứ, Cam Nghĩa, Cam Ranh, Khánh Hòa, Số điện thoại: 0906 325 121, https://www.google.com/maps/place/CHI+Coffee+%26+Drink/data=!4m7!3m6!1s0x3170f39730b25b29:0x310d2b96e87eea76!8m2!3d11.9869714!4d109.179143","{""tiktok"": ""tiktok.com/le_tuan_kim27"", ""instagram"": ""instagram.com/le_tuan_kim83"", ""zalo"": ""zalo.com/le_tuan_kim48"", ""preferred"": ""facebook""}",Social,"[""da-nhay-cam""]",,2025-03-24 20:36:40,2025-05-15 10:12:56,Prospect
45,Đặng Minh An,Mới,2001-01-22,Nữ,dang.minh.an@yahoo.com,931082999,"Ks Quốc Ân, Địa chỉ: 54 Đ. Lý Tự Trọng, TT. Long Hải, Long Điền, Bà Rịa - Vũng Tàu, Số điện thoại: 0934 706 168, https://www.google.com/maps/place/Ks+Qu%E1%BB%91c+%C3%82n/data=!4m10!3m9!1s0x317577003f7dedcf:0x4737d708d8a65030!5m2!4m1!1i2!8m2!3d10.3853175!","{""tiktok"": ""tiktok.com/dang_minh_an83"", ""instagram"": ""instagram.com/dang_minh_an71"", ""zalo"": ""zalo.com/dang_minh_an8"", ""preferred"": ""zalo""}",Social,[],,2024-11-30 15:23:36,2025-01-23 16:46:19,Prospect
51,Vũ Phương My,Mới,1981-09-26,Nữ,vu.phuong.my@hotmail.com,771141640,"Cà Phê Maimai, Địa chỉ: Cà Ná, Phước Diêm, Thuận Nam, Ninh Thuận, https://www.google.com/maps/place/C%C3%A0+Ph%C3%AA+Maimai/data=!4m7!3m6!1s0x3177294579e7af03:0x45fa76bb3e325b10!8m2!3d11.3391226!4d108.8900929!16s%2Fg%2F11kjmf_lm1!19sChIJA6_neUUpdzEREFsyPr","{""zalo"": ""zalo.com/vu_phuong_my90"", ""facebook"": ""facebook.com/vu_phuong_my41"", ""youtube"": ""youtube.com/vu_phuong_my62"", ""preferred"": ""facebook""}",Ads,"[""chong-nang"", ""ship-nhanh"", ""k-beauty""]",,2025-09-21 00:18:13,2025-09-24 12:16:23,Prospect
52,Trần Quốc Phương,Trung bình,1987-02-06,Nam,tran.quoc.phuong@yahoo.com,779233601,"SEA Quán Ăn Ngon | Quán ăn ngon quận 7 | Bún bò ngon quận 7, 186 Hà Huy Tập, Khu đô thị Phú Mỹ Hưng, Quận 7, Hồ Chí Minh, 0822 555 506, https://www.google.gg/maps/place/SEA+Qu%C3%A1n+%C4%82n+Ngon+%7C+Qu%C3%A1n+%C4%83n+ngon+qu%E1%BA%ADn+7+%7C+B%C3%BAn+b%C3","{""tiktok"": ""tiktok.com/tran_quoc_phuong43"", ""zalo"": ""zalo.com/tran_quoc_phuong72"", ""youtube"": ""youtube.com/tran_quoc_phuong91"", ""preferred"": ""instagram""}",Event,[],,2025-06-09 15:34:32,2025-08-18 00:11:45,Lead
54,Hồ Ngọc Huy,Trung bình,1991-05-08,Nam,ho.ngoc.huy@yahoo.com,521417919,"Thanh Hồng Hotel, Địa chỉ: 64/19 Đ. Xuân Diệu, Phường 4, Tân Bình, Hồ Chí Minh 700000, Số điện thoại: 0977 581 388, https://www.google.com/maps/place/Thanh+H%E1%BB%93ng+Hotel/data=!4m10!3m9!1s0x31752935d01c478d:0xe6e61496f197006d!5m2!4m1!1i4!8m2!3d10.7970","{""tiktok"": ""tiktok.com/ho_ngoc_huy99"", ""instagram"": ""instagram.com/ho_ngoc_huy96"", ""zalo"": ""zalo.com/ho_ngoc_huy1"", ""youtube"": ""youtube.com/ho_ngoc_huy76"", ""preferred"": ""tiktok""}",Referral,[],,2025-04-23 11:09:23,2025-07-14 13:58:48,Lead
56,Dương Anh Ngân,Mới,2007-06-16,Nữ,duong.anh.ngan@yahoo.com,889330309,"Quán Nài, Địa chỉ: Hoà Thắng, Bắc Bình, Bình Thuận, Số điện thoại: 0974 471 520, https://www.google.com/maps/place/Qu%C3%A1n+N%C3%A0i/data=!4m7!3m6!1s0x3176c1cfd79f1e45:0x4a99ad62f34e038f!8m2!3d11.1284904!4d108.498146!16s%2Fg%2F11kcb429dy!19sChIJRR6f18_Bd","{""instagram"": ""instagram.com/duong_anh_ngan57"", ""zalo"": ""zalo.com/duong_anh_ngan81"", ""preferred"": ""zalo""}",Social,[],,2025-01-09 04:07:50,2025-04-30 18:31:26,Lead
60,Ngô Tuấn Kim,Trung bình,1966-07-27,Nam,ngo.tuan.kim@outlook.com,930744772,"Bản Nhỏ - Little Village ( Homestay ), Địa chỉ: QL3, Ngọc Xuân, Cao Bằng, Số điện thoại: 0829 931 996, https://www.google.com/maps/place/B%E1%BA%A3n+Nh%E1%BB%8F+-+Little+Village+%28+Homestay+%29/data=!4m10!3m9!1s0x36ca656864f6b8cf:0x87f745508d966b87!5m2!4","{""tiktok"": ""tiktok.com/ngo_tuan_kim69"", ""preferred"": ""email""}",Website,[],,2025-09-15 04:06:46,2025-10-09 05:03:00,Lead
67,Đặng Hữu Trà,Trung bình,1983-08-22,Nam,dang.huu.tra@gmail.com,538707785,"quán cafe, Địa chỉ: 7692+6XJ, Vĩnh Thọ, Nha Trang, Khánh Hòa 650000, https://www.google.com/maps/place/qu%C3%A1n+cafe/data=!4m7!3m6!1s0x317067003fe82663:0x6ee28554f3d1a351!8m2!3d12.2683388!4d109.2023907!16s%2Fg%2F11jsr859fl!19sChIJYyboPwBncDERUaPR81SF4m4?","{""instagram"": ""instagram.com/dang_huu_tra12"", ""preferred"": ""tiktok""}",Website,[],Ưa dùng ví điện tử khi thanh toán,2025-05-11 03:00:55,2025-08-15 21:08:33,Prospect
68,Hoàng Lan Phương,Mới,1961-10-01,Nữ,hoang.lan.phuong2424@icloud.com,322292512,"Cỏ Cafe, Địa chỉ: 12 Nguyễn Chí Thanh, Cam Nghĩa, Cam Ranh, Khánh Hòa, https://www.google.com/maps/place/C%E1%BB%8F+Cafe/data=!4m7!3m6!1s0x31708d9234f6be3f:0x5d997497b92f326c!8m2!3d11.9873572!4d109.1988637!16s%2Fg%2F11jk5zqkhf!19sChIJP772NJKNcDERbDIvuZd0m","{""tiktok"": ""tiktok.com/hoang_lan_phuong19"", ""instagram"": ""instagram.com/hoang_lan_phuong90"", ""zalo"": ""zalo.com/hoang_lan_phuong32"", ""preferred"": ""instagram""}",Referral,"[""clean-beauty""]",Ưa dùng ví điện tử khi thanh toán,2025-09-12 14:00:31,2025-10-09 08:40:00,Prospect
73,Bùi Ngọc An,Mới,1984-03-12,Nữ,bui.ngoc.an3653@outlook.com,820776874,https://www.google.com/maps/place/Conson+Hotel/data=!4m10!3m9!1s0x3198a91c73d191f7:0xef123770ade234b0!5m2!4m1!1i2!8m2!3d8.6802478!4d106.6021565!16s%2Fg%2F11j9dlpt4v!19sChIJ95HRcxypmDERsDTirXA3Eu8?authuser=0&hl=vi&rclk=1,"{""instagram"": ""instagram.com/bui_ngoc_an61"", ""zalo"": ""zalo.com/bui_ngoc_an9"", ""preferred"": ""tiktok""}",Ads,[],,2025-01-10 07:23:28,2025-03-17 00:50:21,Prospect
74,Đặng Lan Hương,Trung bình,2006-10-18,Nữ,dang.lan.huong@icloud.com,512001900,"Nhà Thuốc Hương Lý, Địa chỉ: 194 Lê Lợi, P. Lam Sơn, Bỉm Sơn, Thanh Hóa, Số điện thoại: 0935 238 248, https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+H%C6%B0%C6%A1ng+L%C3%BD/data=!4m7!3m6!1s0x313666a6aecf18cb:0xb1579ca2a81288!8m2!3d20.0713608!4d1","{""instagram"": ""instagram.com/dang_lan_huong68"", ""zalo"": ""zalo.com/dang_lan_huong79"", ""facebook"": ""facebook.com/dang_lan_huong85"", ""preferred"": ""zalo""}",Social,[],Săn coupon khung giờ vàng,2025-06-27 07:50:25,2025-07-05 18:51:35,Prospect
75,Vũ Đức Lộc,Trung bình,1977-09-27,Nam,vu.duc.loc@hotmail.com,942956063,"ATM Vietinbank - Công Ty TNHH Chế Biến Thủy Sản Minh Phú, Địa chỉ: XR7W+CRH Công Ty TNHH Chế Biến Thủy Sản Minh Phú, Đông Phú, Châu Thành, Hậu Giang, Số điện thoại: 0292 3820 858, https://www.google.com/maps/place/ATM+Vietinbank+-+C%C3%B4ng+Ty+TNHH+Ch%E1%","{""tiktok"": ""tiktok.com/vu_duc_loc67"", ""preferred"": ""zalo""}",Walk-in,"[""tri-mun"", ""gooming-nam"", ""coupon-hunter""]","Da nhạy cảm, tránh hương liệu mạnh",2024-12-02 17:59:07,2025-02-26 09:03:23,Prospect
76,Phạm Lan Kim,Trung bình,1996-10-11,Nữ,pham.lan.kim1995@hotmail.com,914888797,"Nova Coffee Trần Văn Kiểu, Địa chỉ: 222 Đ. Trần Văn Kiểu, Phường 10, Quận 6, Hồ Chí Minh 700000, Số điện thoại: 0938 658 899, https://www.google.com/maps/place/Nova+Coffee+Tr%E1%BA%A7n+V%C4%83n+Ki%E1%BB%83u/data=!4m7!3m6!1s0x31752da5ff97641b:0xd4686770be9","{""tiktok"": ""tiktok.com/pham_lan_kim56"", ""instagram"": ""instagram.com/pham_lan_kim27"", ""zalo"": ""zalo.com/pham_lan_kim22"", ""preferred"": ""tiktok""}",Social,"[""coupon-hunter"", ""da-nhay-cam""]",,2025-01-20 06:01:39,2025-04-08 23:41:56,Lead
77,Vũ Thị Giang,Trung bình,1983-08-15,Nữ,vu.thi.giang@yahoo.com,772087523,"Daiabank -Atm, Địa chỉ: 84 QL1A, TT. Tràng Bỏm, Trảng Bom, Đồng Nai, https://www.google.com/maps/place/Daiabank+-Atm/data=!4m7!3m6!1s0x3174e6ae855ac6c3:0x2a4b5dcfb018ec3b!8m2!3d10.9529452!4d106.9985222!16s%2Fg%2F11h00j88g!19sChIJw8Zaha7mdDERO-wYsM9dSyo?au","{""tiktok"": ""tiktok.com/vu_thi_giang33"", ""zalo"": ""zalo.com/vu_thi_giang63"", ""youtube"": ""youtube.com/vu_thi_giang30"", ""preferred"": ""facebook""}",Social,"[""aha-bha"", ""k-beauty"", ""clean-beauty""]",,2024-11-02 23:36:52,2025-02-04 15:21:28,Prospect
78,Ngô Tuấn Nhung,Trung bình,1999-09-16,Nữ,ngo.tuan.nhung@icloud.com,580786218,"Nhà thuốc Bình An, Địa chỉ: 57 QL50, Khu 2, Cần Đước, Long An, Số điện thoại: 0272 3881 214, https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+B%C3%ACnh+An/data=!4m7!3m6!1s0x31754a384399008d:0x429bec4d774d6d88!8m2!3d10.5024353!4d106.6073525!16s%2Fg","{""tiktok"": ""tiktok.com/ngo_tuan_nhung29"", ""instagram"": ""instagram.com/ngo_tuan_nhung6"", ""facebook"": ""facebook.com/ngo_tuan_nhung48"", ""preferred"": ""instagram""}",Event,"[""clean-beauty"", ""coupon-hunter""]",Ưu tiên sản phẩm 'clean beauty',2024-12-18 23:19:11,2025-01-28 23:34:27,Prospect
80,Lê Hữu Phúc,Mới,2002-01-05,Nam,le.huu.phuc@yahoo.com,335178748,"NHÀ THUỐC HOÀNG HƯƠNG, Địa chỉ: 87 ĐT885, Mỹ Thạnh, Giồng Trôm, Bến Tre, Số điện thoại: 0813 343 087, https://www.google.com/maps/place/NH%C3%80+THU%E1%BB%90C+HO%C3%80NG+H%C6%AF%C6%A0NG/data=!4m7!3m6!1s0x310aa911004da4a3:0xa5ce349359f9471f!8m2!3d10.221324","{""tiktok"": ""tiktok.com/le_huu_phuc90"", ""instagram"": ""instagram.com/le_huu_phuc87"", ""zalo"": ""zalo.com/le_huu_phuc62"", ""facebook"": ""facebook.com/le_huu_phuc92"", ""youtube"": ""youtube.com/le_huu_phuc65"", ""preferred"": ""zalo""}",Ads,"[""clean-beauty"", ""livestream-fan"", ""k-beauty""]",,2025-07-26 14:43:13,2025-08-21 04:44:56,Prospect
