LeadID,CustomerID,FullName,Phone,Email,LeadSource,Status,LeadScore,ConversionRate,AssignedTo,CreatedAt,Flow_ID
L000112,112,Đặng Tuấn Thiện,360027573,dang.tuan.thien@hotmail.com,InBound,Converted,42,0.119,Hoàng Bảo Nguyên,2024-05-24 22:26:47,F-2025-000112
L000113,113,Hồ Thanh Long,994430723,ho.thanh.long@gmail.com,InBound,Qualified,12,0.1196,Trần Quốc Huy,2024-07-20 00:54:10,F-2025-000113
L000114,114,Phan Văn Hương,362453194,phan.van.huong@gmail.com,InBound,Converted,30,0.1324,Lê Thu Trang,2024-10-08 20:57:12,F-2025-000114
L000115,115,Võ Lan Nhung,752586498,vo.lan.nhung@hotmail.com,InBound,Lost,0,0.1324,Hoàng Bảo Nguyên,2024-12-09 11:22:08,F-2025-000115
L000116,116,Hồ Phương Phúc,994412334,ho.phuong.phuc@icloud.com,InBound,Nurturing,48,0.119,Bùi Yến Nhi,2025-08-25 15:37:38,F-2025-000116
L000117,117,Lê Minh Giang,730194230,le.minh.giang469@gmail.com,InBound,Converted,30,0.119,Đặng Gia Phúc,2024-05-28 01:40:10,F-2025-000117
L000118,118,Lý Thanh My,350829689,ly.thanh.my@yahoo.com,InBound,Qualified,18,0.1178,Đặng Gia Phúc,2025-01-24 10:34:20,F-2025-000118
L000119,119,Nguyễn Mai Hoa,323083811,nguyen.mai.hoa4947@gmail.com,InBound,Lost,0,0.119,Võ Nhật Linh,2024-11-23 01:33:48,F-2025-000119
L000120,120,Huỳnh Thị Giang,567922498,huynh.thi.giang2953@outlook.com,InBound,Qualified,12,0.119,Võ Nhật Linh,2024-10-26 08:18:52,F-2025-000120
L000121,121,Lê Thu Trinh,333466953,le.thu.trinh@hotmail.com,InBound,Qualified,36,0.1178,Trần Quốc Huy,2025-09-14 21:45:57,F-2025-000121
L000122,122,Lê Tuấn Anh,712553046,le.tuan.anh@gmail.com,InBound,Lost,0,0.119,Phạm Minh Khoa,2024-03-19 20:52:50,F-2025-000122
L000123,123,Trần Thu Thiện,562679646,tran.thu.thien@icloud.com,InBound,Lost,0,0.119,Lê Thu Trang,2024-01-12 17:06:13,F-2025-000123
L000124,124,Vũ Tuấn Kim,318472489,vu.tuan.kim@yahoo.com,InBound,Nurturing,24,0.1178,Hoàng Bảo Nguyên,2025-09-01 04:14:33,F-2025-000124
L000125,125,Đỗ Phương Quang,568933756,do.phuong.quang@gmail.com,InBound,Qualified,12,0.1178,Trần Quốc Huy,2025-03-25 13:38:02,F-2025-000125
L000126,126,Huỳnh Thanh Lộc,567509597,huynh.thanh.loc1372@outlook.com,InBound,Qualified,12,0.1178,Võ Nhật Linh,2025-01-03 19:33:07,F-2025-000126
L000127,127,Ngô Tuấn Thư,913147193,ngo.tuan.thu3038@outlook.com,InBound,Qualified,12,0.1178,Phạm Minh Khoa,2024-07-19 03:29:09,F-2025-000127
L000128,128,Trần Mai Yến,331410210,tran.mai.yen6856@icloud.com,InBound,Qualified,12,0.119,Lê Thu Trang,2025-03-04 16:31:01,F-2025-000128
L000129,129,Lý Mai Vy,994917878,ly.mai.vy@yahoo.com,InBound,Contacted,6,0.1178,Bùi Yến Nhi,2025-01-11 23:14:52,F-2025-000129
L000130,130,Lý Hữu Long,717021710,ly.huu.long@yahoo.com,InBound,Lost,0,0.1178,Lê Thu Trang,2024-04-04 02:58:30,F-2025-000130
L000131,131,Trần Lan Thảo,730871680,tran.lan.thao@yahoo.com,InBound,Qualified,24,0.1196,Trần Quốc Huy,2025-07-27 09:04:55,F-2025-000131
L000132,132,Huỳnh Quốc Ngân,981451272,huynh.quoc.ngan8484@gmail.com,InBound,Nurturing,24,0.157,Trần Quốc Huy,2025-09-24 06:20:53,F-2025-000132
L000133,133,Lý Mai Quỳnh,587339202,ly.mai.quynh2206@yahoo.com,InBound,Lost,0,0.1196,Lê Thu Trang,2024-04-09 07:14:30,F-2025-000133
L000134,134,Bùi Tuấn Khoa,826015163,bui.tuan.khoa@hotmail.com,InBound,Converted,72,0.1178,Hoàng Bảo Nguyên,2025-10-04 19:18:01,F-2025-000134
L000135,135,Hồ Anh Trà,876630709,ho.anh.tra6443@icloud.com,InBound,Lost,0,0.1196,Võ Nhật Linh,2024-08-25 20:11:11,F-2025-000135
L000136,136,Đỗ Anh Giang,757911817,do.anh.giang@yahoo.com,InBound,Converted,54,0.119,Nguyễn Lan Anh,2025-09-25 08:44:56,F-2025-000136
L000137,137,Bùi Quốc Hoa,822981863,bui.quoc.hoa@yahoo.com,InBound,Qualified,12,0.1196,Nguyễn Lan Anh,2024-04-09 15:21:06,F-2025-000137
L000138,138,Nguyễn Minh Vy,577193809,nguyen.minh.vy@hotmail.com,InBound,Contacted,6,0.119,Trần Quốc Huy,2025-02-04 19:49:41,F-2025-000138
L000139,139,Nguyễn Minh Trinh,790182795,nguyen.minh.trinh@yahoo.com,InBound,Qualified,36,0.1196,Võ Nhật Linh,2025-10-05 02:10:01,F-2025-000139
L000140,140,Đỗ Lan Phúc,926446219,do.lan.phuc@icloud.com,InBound,Converted,42,0.1196,Hoàng Bảo Nguyên,2025-03-17 14:20:26,F-2025-000140
L000141,141,Ngô Quốc Trà,372934429,ngo.quoc.tra@yahoo.com,InBound,Qualified,12,0.119,Phạm Minh Khoa,2024-07-24 19:34:52,F-2025-000141
L000142,142,Hồ Đức Trà,793400126,ho.duc.tra8768@outlook.com,InBound,Qualified,12,0.1196,Hoàng Bảo Nguyên,2024-04-26 00:32:11,F-2025-000142
L000143,143,Đặng Hữu An,764794061,dang.huu.an@icloud.com,InBound,Qualified,12,0.1324,Hoàng Bảo Nguyên,2024-06-06 01:00:11,F-2025-000143
L000144,144,Dương Mai Tài,993727604,duong.mai.tai@gmail.com,InBound,Converted,30,0.119,Phạm Minh Khoa,2024-11-01 17:43:27,F-2025-000144
L000145,145,Huỳnh Lan Kim,350115610,huynh.lan.kim@yahoo.com,InBound,Lost,0,0.1196,Nguyễn Lan Anh,2024-12-28 10:59:18,F-2025-000145
L000146,146,Huỳnh Quốc Thư,727212430,huynh.quoc.thu@hotmail.com,InBound,Qualified,12,0.1324,Đặng Gia Phúc,2024-07-27 23:30:13,F-2025-000146
L000147,147,Dương Mai Khoa,967880159,duong.mai.khoa@outlook.com,InBound,Lost,0,0.119,Đặng Gia Phúc,2024-11-19 13:23:24,F-2025-000147
L000148,148,Đỗ Thu Vy,735767262,do.thu.vy@yahoo.com,InBound,Nurturing,30,0.157,Hoàng Bảo Nguyên,2025-08-21 05:42:19,F-2025-000148
L000149,149,Phan Văn Thảo,976945944,phan.van.thao@yahoo.com,InBound,Qualified,12,0.119,Hoàng Bảo Nguyên,2024-10-16 20:05:56,F-2025-000149
L000150,150,Vũ Thu Trinh,786196024,vu.thu.trinh3818@icloud.com,InBound,Converted,30,0.1178,Võ Nhật Linh,2024-03-14 20:21:13,F-2025-000150
L000151,151,Lê Hữu Tài,538525645,le.huu.tai@yahoo.com,InBound,Qualified,18,0.119,Phạm Minh Khoa,2025-03-02 01:53:21,F-2025-000151
L000152,152,Đặng Văn Hoa,581216226,dang.van.hoa@yahoo.com,InBound,Qualified,12,0.119,Hoàng Bảo Nguyên,2024-04-03 13:37:17,F-2025-000152
L000153,153,Hồ Gia Tài,894648020,ho.gia.tai@hotmail.com,InBound,Nurturing,24,0.119,Bùi Yến Nhi,2025-08-14 22:13:33,F-2025-000153
L000154,154,Ngô Thu Giang,386614455,ngo.thu.giang@hotmail.com,InBound,Qualified,12,0.1324,Nguyễn Lan Anh,2024-01-16 02:24:28,F-2025-000154
L000155,155,Hoàng Minh Yến,593537868,hoang.minh.yen@yahoo.com,InBound,Converted,42,0.119,Võ Nhật Linh,2024-02-17 13:27:25,F-2025-000155
L000156,156,Phan Ngọc Linh,776260465,phan.ngoc.linh@hotmail.com,InBound,Qualified,12,0.119,Nguyễn Lan Anh,2024-10-13 02:36:47,F-2025-000156
L000157,157,Đặng Phương Phương,953671468,dang.phuong.phuong@hotmail.com,InBound,Qualified,24,0.119,Bùi Yến Nhi,2025-04-11 10:18:07,F-2025-000157
L000158,158,Huỳnh Hữu Yến,859036109,huynh.huu.yen@outlook.com,InBound,Qualified,18,0.1178,Lê Thu Trang,2025-05-07 18:46:31,F-2025-000158
L000159,159,Hoàng Văn Hoa,333518083,hoang.van.hoa3529@icloud.com,InBound,Qualified,12,0.1324,Trần Quốc Huy,2024-04-27 17:13:15,F-2025-000159
L000160,160,Huỳnh Gia An,528013237,huynh.gia.an8328@yahoo.com,InBound,Qualified,48,0.119,Đặng Gia Phúc,2025-06-28 12:58:12,F-2025-000160
