customer_id,full_name,customer_type,birth_date,gender,email,phone,address,social_channels,source,tags,notes,created_at,updated_at
11,Đặng Gia Hạnh,Trung bình,1998-05-30,Nữ,dang.gia.hanh2201@outlook.com,0721824493,"Địa chỉ: Huỳnh Văn Nghệ, Phú Lợi, Thủ Dầu Một, Bình Dương 75110","{""facebook"": ""facebook.com/dang_gia_hanh35"", ""instagram"": ""instagram.com/dang_gia_hanh42"", ""preferred"": ""zalo""}",Event,"[""uu-tien-ship"", ""khach-quen""]",,2023-03-20 21:55:12,2023-04-13 21:00:48
12,Ngô Thanh Hoa,Trung bình,1998-01-14,Nữ,ngo.thanh.hoa@yahoo.com,0390598262,"Địa chỉ: 928 Đ. Hùng Vương, Di Linh, Lâm Đồng","{""facebook"": ""facebook.com/ngo_thanh_hoa71"", ""zalo"": ""zalo.com/ngo_thanh_hoa79"", ""preferred"": ""instagram""}",Walk-in,[],"Da nhạy cảm, tránh hương liệu mạnh",2024-01-23 15:08:34,2024-07-11 18:53:07
13,Nguyễn Ngọc Thảo,Trung bình,1986-11-02,Nữ,nguyen.ngoc.thao6746@yahoo.com,0852160733,"Địa chỉ: 40 Trần Văn Hòa, Phường 6, Sóc Trăng","{""facebook"": ""facebook.com/nguyen_ngoc_thao8"", ""zalo"": ""zalo.com/nguyen_ngoc_thao82"", ""tiktok"": ""tiktok.com/nguyen_ngoc_thao86"", ""preferred"": ""email""}",Website,"[""tri-mun""]",,2023-10-28 00:24:01,2024-02-07 12:21:06
14,Võ Ngọc Phương,Trung bình,2001-03-17,Nam,vo.ngoc.phuong4350@gmail.com,0329655698,"Địa chỉ: 93 Cao Triều Phát, Tân Phong, Quận 7, Hồ Chí Minh","{""facebook"": ""facebook.com/vo_ngoc_phuong8"", ""preferred"": ""phone""}",Event,"[""duong-da"", ""da-nhay-cam""]",,2025-04-16 10:56:43,2025-10-08 18:07:08
15,Ngô Anh Anh,Trung bình,1969-04-12,Nữ,ngo.anh.anh@hotmail.com,0833662994,"Địa chỉ: TL716B, Hoà Thắng, Bắc Bình, Bình Thuận","{""facebook"": ""facebook.com/ngo_anh_anh27"", ""instagram"": ""instagram.com/ngo_anh_anh94"", ""zalo"": ""zalo.com/ngo_anh_anh10"", ""tiktok"": ""tiktok.com/ngo_anh_anh84"", ""preferred"": ""phone""}",Referral,"[""tri-mun"", ""da-nhay-cam""]",Ưa thích son lì tông đất,2024-05-15 14:19:19,2024-09-12 06:24:24
16,Vũ Thu Phúc,Mới,2000-06-09,Nam,vu.thu.phuc@yahoo.com,0830037917,"Địa chỉ: HGCR+85, Đại Trạch, Bố Trạch, Quảng Bình","{""instagram"": ""instagram.com/vu_thu_phuc89"", ""zalo"": ""zalo.com/vu_thu_phuc6"", ""tiktok"": ""tiktok.com/vu_thu_phuc15"", ""preferred"": ""tiktok""}",Event,"[""khach-quen"", ""da-nhay-cam"", ""tri-mun""]",,2023-01-09 14:43:32,2023-07-20 18:36:22
17,Bùi Lan Giang,Tiềm năng,1982-05-16,Nữ,bui.lan.giang@hotmail.com,0778727743,"Địa chỉ: Trung Sơn, Tp. Tam Điệp, Ninh Bình","{""facebook"": ""facebook.com/bui_lan_giang69"", ""instagram"": ""instagram.com/bui_lan_giang19"", ""zalo"": ""zalo.com/bui_lan_giang88"", ""tiktok"": ""tiktok.com/bui_lan_giang27"", ""preferred"": ""facebook""}",Event,"[""duong-toc""]",,2024-03-19 20:43:03,2024-05-19 06:36:37
18,Dương Hữu Long,Tiềm năng,2000-08-29,Nam,duong.huu.long@icloud.com,0779096705,"Địa chỉ: 155 Ng. Thì Nhậm, P. Kỳ Bá, Thái Bình","{""facebook"": ""facebook.com/duong_huu_long49"", ""instagram"": ""instagram.com/duong_huu_long86"", ""preferred"": ""tiktok""}",Walk-in,"[""uu-tien-ship"", ""nu"", ""yeu-son""]",Thích mùi nước hoa nhẹ,2023-12-07 20:37:53,2024-02-15 12:29:58
19,Hồ Tuấn Phương,Trung bình,1993-01-27,Nữ,ho.tuan.phuong@gmail.com,0572720465,"Địa chỉ: 51 Thoại Ngọc Hầu, Hòa Thạnh, Tân Phú, Hồ Chí Minh","{""facebook"": ""facebook.com/ho_tuan_phuong44"", ""instagram"": ""instagram.com/ho_tuan_phuong8"", ""preferred"": ""facebook""}",Ads,"[""duong-toc"", ""da-nhay-cam"", ""nu""]",Thích mùi nước hoa nhẹ,2023-01-31 02:39:40,2023-08-10 22:18:02
20,Hoàng Đức Vy,Mới,1969-12-23,Nữ,hoang.duc.vy@gmail.com,0547452991,"Địa chỉ: 05 saigon south residence, Phước Kiển, Nhà Bè, Hồ Chí Minh","{""facebook"": ""facebook.com/hoang_duc_vy88"", ""zalo"": ""zalo.com/hoang_duc_vy89"", ""preferred"": ""phone""}",Referral,[],Ưa thích son lì tông đất,2024-08-06 00:27:27,2024-11-15 07:40:42
21,Trần Anh Ngọc,Tiềm năng,1991-04-01,Nữ,tran.anh.ngoc@outlook.com,0728506716,"Địa chỉ: 201 Phạm Văn Đồng, Hưng Long, Thành phố Phan Thiết, Bình Thuận 77000","{""tiktok"": ""tiktok.com/tran_anh_ngoc93"", ""preferred"": ""email""}",Website,"[""da-nhay-cam""]",,2025-03-21 12:07:42,2025-09-03 21:57:42
22,Lê Minh Giang,Tiềm năng,1979-10-29,Nữ,le.minh.giang@icloud.com,0775075273,"Địa chỉ: Tx. Ninh Hòa, Khánh Hòa","{""instagram"": ""instagram.com/le_minh_giang97"", ""zalo"": ""zalo.com/le_minh_giang60"", ""preferred"": ""tiktok""}",Ads,"[""uu-tien-ship"", ""duong-da""]",,2023-10-24 19:05:59,2023-11-15 03:53:14
23,Vũ Hữu Khánh,Tiềm năng,1975-08-23,Nam,vu.huu.khanh@hotmail.com,0767885685,"Địa chỉ: 73/4 Trần Quang Khải, Lộc Thọ, Nha Trang, Khánh Hòa 650000","{""zalo"": ""zalo.com/vu_huu_khanh94"", ""tiktok"": ""tiktok.com/vu_huu_khanh92"", ""preferred"": ""email""}",Ads,"[""tri-mun"", ""trang-diem""]",,2024-05-05 04:28:48,2024-06-04 23:59:24
24,Phạm Mai Tài,Trung bình,1968-10-09,Nam,pham.mai.tai@outlook.com,0934082400,"Địa chỉ: 12 Hạ Long, Bãi Cháy, Hạ Long, Quảng Ninh 02033","{""facebook"": ""facebook.com/pham_mai_tai6"", ""instagram"": ""instagram.com/pham_mai_tai61"", ""zalo"": ""zalo.com/pham_mai_tai8"", ""tiktok"": ""tiktok.com/pham_mai_tai9"", ""preferred"": ""email""}",Social,"[""trang-diem"", ""duong-da"", ""yeu-son""]",,2025-01-13 15:45:33,2025-05-06 04:09:50
25,Hoàng Lan Phương,Trung bình,1982-06-07,Nam,hoang.lan.phuong1396@yahoo.com,0828699938,"Địa chỉ: Shop S2-1, Lô R16-2, Khu Hưng Vượng/3 Đường số 6, Tân Phong, Quận 7, Hồ Chí Minh","{""instagram"": ""instagram.com/hoang_lan_phuong10"", ""zalo"": ""zalo.com/hoang_lan_phuong22"", ""tiktok"": ""tiktok.com/hoang_lan_phuong20"", ""preferred"": ""facebook""}",Ads,"[""duong-toc"", ""yeu-son"", ""nam""]",,2023-06-04 03:41:44,2023-12-16 11:15:39
26,Lý Minh Linh,Trung bình,1976-07-24,Nữ,ly.minh.linh@outlook.com,0981349361,"Địa chỉ: 1646 Võ Văn Kiệt, An Lạc, Quận 8, Hồ Chí Minh","{""instagram"": ""instagram.com/ly_minh_linh59"", ""preferred"": ""zalo""}",Referral,"[""chong-nang"", ""trang-diem""]",,2024-04-22 20:35:58,2024-09-22 17:19:25
27,Lê Tuấn Linh,Vip,1982-10-10,Nữ,le.tuan.linh5281@hotmail.com,0950139904,"Địa chỉ: 54 Trần Nhật Duật, Phước Hoà, Nha Trang, Khánh Hòa 58000","{""facebook"": ""facebook.com/le_tuan_linh11"", ""instagram"": ""instagram.com/le_tuan_linh52"", ""zalo"": ""zalo.com/le_tuan_linh85"", ""tiktok"": ""tiktok.com/le_tuan_linh20"", ""preferred"": ""zalo""}",Website,"[""uu-tien-ship"", ""nam"", ""khach-quen""]","Da nhạy cảm, tránh hương liệu mạnh",2025-06-28 06:40:12,2025-10-08 22:06:00
28,Hồ Mai Ngọc,Trung bình,1993-10-15,Nữ,ho.mai.ngoc@gmail.com,0864516808,"Địa chỉ: 13 Nguyễn Văn Cừ, Street, Hạ Long, Quảng Ninh","{""facebook"": ""facebook.com/ho_mai_ngoc36"", ""instagram"": ""instagram.com/ho_mai_ngoc89"", ""zalo"": ""zalo.com/ho_mai_ngoc3"", ""preferred"": ""email""}",Referral,"[""yeu-son"", ""khach-quen""]",,2023-03-22 04:13:35,2023-05-13 13:56:58
29,Nguyễn Thanh Chi,Mới,1962-03-26,Nam,nguyen.thanh.chi@gmail.com,0881274846,"Địa chỉ: 19 Trưng Nữ Vương, Phường 1, Gò Vấp, Hồ Chí Minh 700000","{""facebook"": ""facebook.com/nguyen_thanh_chi98"", ""zalo"": ""zalo.com/nguyen_thanh_chi64"", ""tiktok"": ""tiktok.com/nguyen_thanh_chi0"", ""preferred"": ""zalo""}",Ads,"[""da-nhay-cam""]",,2025-07-20 02:24:59,2025-10-08 21:15:00
30,Lý Mai Vy,Tiềm năng,2002-07-11,Nữ,ly.mai.vy@icloud.com,0565886753,"Địa chỉ: 1 Đ. Võ Văn Ngân, Linh Chiểu, Thủ Đức, Hồ Chí Minh","{""instagram"": ""instagram.com/ly_mai_vy4"", ""zalo"": ""zalo.com/ly_mai_vy75"", ""tiktok"": ""tiktok.com/ly_mai_vy12"", ""preferred"": ""tiktok""}",Ads,"[""duong-da"", ""nuoc-hoa"", ""khach-quen""]",,2024-08-15 05:19:38,2024-11-22 05:03:59
31,Nguyễn Phương Vy,Trung bình,1980-01-14,Nữ,nguyen.phuong.vy@yahoo.com,0927459615,"Địa chỉ: C274+7M7, Sơn Hải, Thuận Nam, Ninh Thuận","{""instagram"": ""instagram.com/nguyen_phuong_vy12"", ""preferred"": ""facebook""}",Ads,"[""uu-tien-ship"", ""duong-da"", ""yeu-son""]",,2025-09-07 11:23:17,2025-10-09 08:07:00
32,Nguyễn Thị Thảo,Trung bình,1974-01-10,Nữ,nguyen.thi.thao4807@outlook.com,0566238692,"Địa chỉ: 01 Lê Lợi, Chánh Lộ, Quảng Ngãi","{""facebook"": ""facebook.com/nguyen_thi_thao32"", ""instagram"": ""instagram.com/nguyen_thi_thao85"", ""zalo"": ""zalo.com/nguyen_thi_thao59"", ""preferred"": ""phone""}",Event,"[""yeu-son"", ""nam"", ""tri-mun""]",,2025-06-24 21:40:25,2025-07-31 06:07:38
33,Đỗ Tuấn Phúc,Tiềm năng,1970-04-21,Nam,do.tuan.phuc@icloud.com,0857436713,"Địa chỉ: 273 23 Tháng 8, Phường 8, Bạc Liêu","{""preferred"": ""instagram""}",Event,"[""duong-da"", ""nam""]",,2023-01-13 13:54:50,2023-06-06 15:41:58
34,Phan Tuấn Trung,Mới,1978-11-28,Nam,phan.tuan.trung@yahoo.com,0320470952,"Địa chỉ: PM78+RW2, Đặng Thai Mai, Nghi Kim, Vinh, Nghệ An","{""instagram"": ""instagram.com/phan_tuan_trung61"", ""tiktok"": ""tiktok.com/phan_tuan_trung43"", ""preferred"": ""facebook""}",Ads,"[""chong-nang"", ""tri-mun"", ""nu""]",Quan tâm combo dưỡng ẩm + chống nắng,2025-04-04 15:36:39,2025-08-11 01:31:59
35,Vũ Mai Anh,Tiềm năng,1967-05-21,Nam,vu.mai.anh9132@outlook.com,0726048175,"Địa chỉ: 704 Đoàn Nguyễn Tuấn, ấp 3, Bình Chánh, Hồ Chí Minh","{""facebook"": ""facebook.com/vu_mai_anh78"", ""instagram"": ""instagram.com/vu_mai_anh8"", ""tiktok"": ""tiktok.com/vu_mai_anh89"", ""preferred"": ""zalo""}",Website,"[""trang-diem"", ""nam""]",,2023-02-08 20:59:11,2023-07-17 17:25:35
36,Trần Thị Phúc,Tiềm năng,1974-09-17,Nam,tran.thi.phuc1903@gmail.com,0948267586,"Địa chỉ: C284+4M4, Sơn Hải, Thuận Nam, Ninh Thuận","{""facebook"": ""facebook.com/tran_thi_phuc56"", ""tiktok"": ""tiktok.com/tran_thi_phuc87"", ""preferred"": ""zalo""}",Referral,"[""nam"", ""trang-diem"", ""khach-quen""]",,2024-03-10 13:28:06,2024-03-19 02:57:32
37,Hồ Minh Tài,Vip,1992-01-15,Nam,ho.minh.tai7451@gmail.com,0549005329,"Địa chỉ: Bình Phú, Cai Lậy, Tiền Giang","{""instagram"": ""instagram.com/ho_minh_tai35"", ""tiktok"": ""tiktok.com/ho_minh_tai16"", ""preferred"": ""email""}",Website,"[""yeu-son""]",,2023-12-28 22:49:13,2024-03-22 04:11:33
38,Nguyễn Ngọc Nam,Tiềm năng,1981-10-06,Nam,nguyen.ngoc.nam@yahoo.com,0360240268,"Địa chỉ: 34 Quang Trung, Trần Hưng, Thái Bình","{""facebook"": ""facebook.com/nguyen_ngoc_nam84"", ""instagram"": ""instagram.com/nguyen_ngoc_nam58"", ""tiktok"": ""tiktok.com/nguyen_ngoc_nam61"", ""preferred"": ""tiktok""}",Ads,"[""uu-tien-ship"", ""yeu-son""]",,2025-02-21 16:28:04,2025-04-19 14:51:47
39,Dương Văn Khoa,Trung bình,1966-03-03,Nam,duong.van.khoa@yahoo.com,0922499856,"Địa chỉ: 157 Đ. Bàu Cát, Phường 14, Tân Bình, Hồ Chí Minh 700000","{""instagram"": ""instagram.com/duong_van_khoa58"", ""zalo"": ""zalo.com/duong_van_khoa93"", ""tiktok"": ""tiktok.com/duong_van_khoa54"", ""preferred"": ""zalo""}",Ads,"[""trang-diem"", ""nu"", ""uu-tien-ship""]",,2023-12-01 00:38:27,2024-03-20 17:04:53
40,Hoàng Thu Kim,Tiềm năng,1973-04-28,Nam,hoang.thu.kim@gmail.com,0926152809,"Địa chỉ: 607 Huỳnh Văn Nghệ, Bửu Long, Biên Hòa, Đồng Nai","{""facebook"": ""facebook.com/hoang_thu_kim73"", ""instagram"": ""instagram.com/hoang_thu_kim19"", ""tiktok"": ""tiktok.com/hoang_thu_kim13"", ""preferred"": ""zalo""}",Website,"[""nuoc-hoa"", ""nam"", ""da-nhay-cam""]",Ưu tiên sản phẩm thiên nhiên,2024-03-22 19:36:05,2024-08-23 06:58:38
41,Võ Tuấn Khánh,Trung bình,1989-04-02,Nam,vo.tuan.khanh9191@hotmail.com,0790940244,"Địa chỉ: Trung Lương, Phù Cát, Bình Định","{""instagram"": ""instagram.com/vo_tuan_khanh67"", ""zalo"": ""zalo.com/vo_tuan_khanh53"", ""tiktok"": ""tiktok.com/vo_tuan_khanh20"", ""preferred"": ""zalo""}",Referral,"[""yeu-son""]",,2023-04-19 02:19:57,2023-05-26 01:23:08
42,Lê Gia Linh,Trung bình,1994-12-26,Nữ,le.gia.linh@hotmail.com,0811476797,"Địa chỉ: Cái Dăm, Bãi Cháy, Hạ Long, Quảng Ninh","{""facebook"": ""facebook.com/le_gia_linh85"", ""instagram"": ""instagram.com/le_gia_linh28"", ""zalo"": ""zalo.com/le_gia_linh76"", ""tiktok"": ""tiktok.com/le_gia_linh26"", ""preferred"": ""zalo""}",Website,[],,2023-06-22 06:16:13,2023-09-03 03:51:56
43,Đặng Anh Hạnh,Trung bình,1964-04-27,Nữ,dang.anh.hanh@icloud.com,0332683885,"Địa chỉ: 83/10 Hoà Hưng, Phường 12, Quận 10, Hồ Chí Minh","{""instagram"": ""instagram.com/dang_anh_hanh14"", ""zalo"": ""zalo.com/dang_anh_hanh41"", ""tiktok"": ""tiktok.com/dang_anh_hanh79"", ""preferred"": ""tiktok""}",Website,"[""duong-da"", ""khach-quen"", ""trang-diem""]",Ưa thích son lì tông đất,2024-10-28 20:52:41,2025-03-24 11:36:09
44,Phạm Đức Chi,Tiềm năng,1968-07-02,Nam,pham.duc.chi@hotmail.com,0926453521,"Địa chỉ: ĐT702, Mỹ Tân, Ninh Hải, Ninh Thuận 59000","{""facebook"": ""facebook.com/pham_duc_chi25"", ""instagram"": ""instagram.com/pham_duc_chi19"", ""preferred"": ""instagram""}",Event,"[""nuoc-hoa""]",,2025-09-29 15:51:29,2025-10-09 10:14:00
45,Dương Thu Phương,Tiềm năng,1972-11-12,Nam,duong.thu.phuong@hotmail.com,0765271774,"Địa chỉ: 88 Đường Số 17A, Bình Trị Đông B, Bình Tân, Hồ Chí Minh","{""facebook"": ""facebook.com/duong_thu_phuong36"", ""instagram"": ""instagram.com/duong_thu_phuong11"", ""tiktok"": ""tiktok.com/duong_thu_phuong59"", ""preferred"": ""email""}",Ads,[],,2024-12-03 00:34:12,2024-12-12 02:38:28
46,Phan Anh Trà,Tiềm năng,1986-12-06,Nam,phan.anh.tra@yahoo.com,0517151820,"Địa chỉ: nhà thấp tầng - Dự án tổ hợp công trình hỗn hợp Pandora, Khu, 53 P. Triều Khúc, Thanh Xuân Bắc, Thanh Xuân, Hà Nội 100000","{""zalo"": ""zalo.com/phan_anh_tra80"", ""preferred"": ""facebook""}",Email,"[""nuoc-hoa""]",,2024-03-15 11:02:13,2024-06-23 01:55:11
47,Hồ Minh Yến,Tiềm năng,1977-01-27,Nữ,ho.minh.yen9875@yahoo.com,0961925462,"Địa chỉ: 86 Vũ Bảo, Ngô Mây, Quy Nhơn, Bình Định","{""instagram"": ""instagram.com/ho_minh_yen2"", ""zalo"": ""zalo.com/ho_minh_yen23"", ""preferred"": ""zalo""}",Referral,"[""nam"", ""nuoc-hoa"", ""chong-nang""]",,2025-03-28 17:21:58,2025-04-21 16:53:13
48,Hoàng Ngọc Khoa,Trung bình,1974-02-21,Nam,hoang.ngoc.khoa@gmail.com,0898805929,"Địa chỉ: 61/45 Hùng Vương, Lộc Thọ, Nha Trang, Khánh Hòa 650000","{""preferred"": ""instagram""}",Referral,"[""nu""]",,2024-09-30 05:55:09,2025-01-01 14:34:02
49,Lý Gia Tài,Tiềm năng,1999-05-27,Nam,ly.gia.tai@hotmail.com,0587468862,"Địa chỉ: 217 Đ. Nguyễn Văn Tạo, Long Thới, Nhà Bè, Hồ Chí Minh","{""instagram"": ""instagram.com/ly_gia_tai15"", ""zalo"": ""zalo.com/ly_gia_tai97"", ""tiktok"": ""tiktok.com/ly_gia_tai57"", ""preferred"": ""email""}",Referral,"[""duong-da"", ""nam""]",,2024-07-30 15:47:25,2024-12-18 19:31:31
50,Vũ Mai Giang,Vip,1973-08-29,Nam,vu.mai.giang437@icloud.com,0516853615,"Địa chỉ: 60/40 Đường Nguyễn Khuyến, Vĩnh Hải, Nha Trang, Khánh Hòa 650000","{""instagram"": ""instagram.com/vu_mai_giang78"", ""zalo"": ""zalo.com/vu_mai_giang10"", ""tiktok"": ""tiktok.com/vu_mai_giang27"", ""preferred"": ""instagram""}",Social,"[""chong-nang"", ""nu""]",,2025-01-03 22:23:47,2025-07-01 03:26:58
51,Phạm Lan Nhung,Trung bình,1975-07-27,Nữ,pham.lan.nhung@gmail.com,0913697117,"Địa chỉ: Tòa 24T3 - Thanh Xuân Complex, 06 P. Lê Văn Thiêm, Thanh Xuân Trung, Thanh Xuân, Hà Nội","{""facebook"": ""facebook.com/pham_lan_nhung73"", ""instagram"": ""instagram.com/pham_lan_nhung85"", ""tiktok"": ""tiktok.com/pham_lan_nhung46"", ""preferred"": ""facebook""}",Event,"[""nu""]",,2024-10-28 19:11:09,2024-10-29 17:34:13
52,Nguyễn Hữu Kim,Tiềm năng,2004-06-05,Nữ,nguyen.huu.kim@icloud.com,0964051531,"Địa chỉ: 410 Quang Trung, Bắc Sơn, Tam Điệp, Ninh Bình","{""tiktok"": ""tiktok.com/nguyen_huu_kim23"", ""preferred"": ""instagram""}",Ads,[],,2024-06-09 21:57:23,2024-11-21 04:19:52
53,Phan Thị Tài,Mới,2003-05-20,Nam,phan.thi.tai5171@outlook.com,0796874034,"Địa chỉ: 12 Đường Nguyễn Bình, Lý Văn Lâm, Cà Mau","{""instagram"": ""instagram.com/phan_thi_tai23"", ""zalo"": ""zalo.com/phan_thi_tai63"", ""tiktok"": ""tiktok.com/phan_thi_tai66"", ""preferred"": ""zalo""}",Referral,"[""duong-toc"", ""trang-diem""]",Thích mùi nước hoa nhẹ,2024-09-13 09:53:33,2025-03-23 01:54:10
54,Huỳnh Thanh Phúc,Trung bình,1970-10-05,Nam,huynh.thanh.phuc@gmail.com,0764479627,"Địa chỉ: Đ. Bắc Sơn, Vĩnh Hải, Nha Trang, Khánh Hòa 650000","{""facebook"": ""facebook.com/huynh_thanh_phuc65"", ""preferred"": ""instagram""}",Website,"[""yeu-son"", ""da-nhay-cam""]",,2023-03-31 02:27:49,2023-04-20 01:40:29
55,Trần Ngọc Trang,Trung bình,1992-02-28,Nữ,tran.ngoc.trang@outlook.com,0766909275,"Địa chỉ: Thuan Viet Apartment, Đ. Lý Thường Kiệt, Phường 9, Quận 11, Hồ Chí Minh 70000","{""facebook"": ""facebook.com/tran_ngoc_trang14"", ""instagram"": ""instagram.com/tran_ngoc_trang23"", ""zalo"": ""zalo.com/tran_ngoc_trang49"", ""preferred"": ""facebook""}",Referral,"[""uu-tien-ship""]",,2024-05-03 09:08:19,2024-10-16 19:17:07
56,Phan Tuấn Nhung,Tiềm năng,1985-06-15,Nữ,phan.tuan.nhung@icloud.com,0741217271,"Địa chỉ: 199 Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh 72100","{""facebook"": ""facebook.com/phan_tuan_nhung25"", ""zalo"": ""zalo.com/phan_tuan_nhung63"", ""tiktok"": ""tiktok.com/phan_tuan_nhung70"", ""preferred"": ""email""}",Website,"[""duong-toc"", ""chong-nang""]",,2025-09-17 15:10:48,2025-10-09 03:19:00
57,Hoàng Tuấn Trang,Trung bình,1994-04-12,Nữ,hoang.tuan.trang@icloud.com,0388669125,"Địa chỉ: 22a Cao Bá Quát, Phước Hoà, Nha Trang, Khánh Hòa 650000","{""facebook"": ""facebook.com/hoang_tuan_trang7"", ""zalo"": ""zalo.com/hoang_tuan_trang38"", ""tiktok"": ""tiktok.com/hoang_tuan_trang41"", ""preferred"": ""phone""}",Website,"[""chong-nang"", ""uu-tien-ship""]",,2023-10-10 16:04:38,2024-04-23 20:46:30
58,Đặng Mai Trang,Mới,1977-09-07,Nữ,dang.mai.trang@hotmail.com,0952498182,"Địa chỉ: 19/8 Hồ Quý Ly, Phường Thắng Tam, Vũng Tàu, Bà Rịa - Vũng Tàu 790000","{""instagram"": ""instagram.com/dang_mai_trang26"", ""tiktok"": ""tiktok.com/dang_mai_trang81"", ""preferred"": ""facebook""}",Referral,"[""yeu-son"", ""duong-da""]",Ưu tiên sản phẩm thiên nhiên,2023-05-07 04:12:27,2023-05-19 03:33:43
